Customer Name,Customer Address,Product Name,Color,Material,Category,Total Quantity Sold,Inventory (Stock),Price (Before GST),GST Amount,Discount (%),Profit,Total Price (With GST),Transaction Date,Year,Month,Day
Manan Tailor,"Vasant Kunj, Delhi - 110051",Mandir,Black,Metal,Mandir,3,4,34492,2359,5,2609,35008.45,2020-08-31,2020,8,31
Girindra Thakkar,"Lampur Border, Delhi - 110041",Mandir,Green,Iron,Mandir,10,25,22800,586,5,4693,22216.7,2022-09-29,2022,9,29
Inaya Deol,"Holambi, Delhi - 110092",Dressing Table,Grey,Glass,Dressing Table,2,18,19006,1144,10,5014,18135.0,2023-10-19,2023,10,19
Frado Kothari,"Alipur, Delhi - 110097",Cooler,Yellow,Wood,Cooler,10,25,15562,4546,20,1474,16086.4,2020-06-30,2020,6,30
Yauvani Doshi,"Alipur, Delhi - 110060",Mandir,Yellow,Plastic,Mandir,10,16,37290,2871,15,620,34136.85,2023-09-19,2023,9,19
Prisha Shukla,"Janakpuri, Delhi - 110019",Bed - Single Bed,Black,Glass,Bed,10,16,27228,2155,10,9147,26444.7,2020-02-19,2020,2,19
Ishwar Mukhopadhyay,"Singhu Border, Delhi - 110019",Bed - Double Bed,Green,Wood,Bed,4,22,28177,2932,20,7049,24887.2,2021-01-29,2021,1,29
Chakradev Bhattacharyya,"Lampur Border, Delhi - 110047",Dressing Table,Green,Wood,Dressing Table,4,13,33403,2187,10,4335,32031.0,2020-08-23,2020,8,23
Veer Hayer,"Pranshant Vihar, Delhi - 110044",Dressing Table,Black,Wood,Dressing Table,10,25,22542,2457,10,5723,22499.1,2021-10-11,2021,10,11
Gautam Gade,"Pranshant Vihar, Delhi - 110060",Mattress,Grey,Metal,Mattress,6,10,27649,3946,20,9769,25276.0,2020-07-06,2020,7,6
Nilima Bath,"Lampur Border, Delhi - 110089",Cupboard,Red,Metal,Cupboard,6,15,46590,2625,5,9632,46754.25,2024-12-21,2024,12,21
Amara Prabhakar,"Vasant Kunj, Delhi - 110097",Cooler,Green,Plastic,Cooler,3,7,11267,1678,15,3061,11003.25,2023-08-06,2023,8,6
Ishanvi Mody,"Rohini, Delhi - 110056",Chair,Red,Glass,Chair,10,15,30036,3995,5,9473,32329.45,2022-12-06,2022,12,6
Krish Tara,"Pitampura, Delhi - 110090",Bed - Double Bed,Black,Wood,Bed,6,18,33607,2294,15,2159,30515.85,2020-11-18,2020,11,18
Krishna Virk,"Rohini, Delhi - 110049",Mattress,Grey,Glass,Mattress,7,10,35961,1748,10,6465,33938.1,2024-08-10,2024,8,10
Saksham Bains,"Lampur Border, Delhi - 110052",Chair,Black,Glass,Chair,7,9,18867,3324,10,9620,19971.9,2023-11-06,2023,11,6
Ekapad Kakar,"Vasant Kunj, Delhi - 110021",Cupboard,Yellow,Plastic,Cupboard,6,8,26918,1227,10,9859,25330.5,2024-06-19,2024,6,19
Yashica Nazareth,"Pitampura, Delhi - 110018",Sofa,Green,Metal,Sofa,6,12,13398,2603,5,683,15200.95,2021-11-25,2021,11,25
Ganga Yadav,"Dwarka, Delhi - 110041",Dressing Table,White,Glass,Dressing Table,9,23,35136,3732,20,8769,31094.4,2021-11-13,2021,11,13
Nihal Kale,"Lampur Border, Delhi - 110010",Dressing Table,Yellow,Board,Dressing Table,2,13,20361,3476,5,3665,22645.15,2022-08-21,2022,8,21
Dakshesh Singh,"Karol Bagh, Delhi - 110020",Sofa,White,Plastic,Sofa,8,25,35846,2766,20,8669,30889.6,2024-09-21,2024,9,21
Samar Ravi,"Lajpat Nagar, Delhi - 110046",Mandir,Blue,Metal,Mandir,7,27,5349,4284,10,3757,8669.7,2020-10-04,2020,10,4
Bhavani Chauhan,"Singhu Border, Delhi - 110060",Sofa,Green,Wood,Sofa,10,18,23509,2702,5,6938,24900.45,2021-06-05,2021,6,5
Urvashi Dalal,"Alipur, Delhi - 110072",Mandir,Red,Plastic,Mandir,3,15,6426,2946,5,6961,8903.4,2023-06-12,2023,6,12
Saanvi Hari,"Holambi, Delhi - 110077",Bed - Single Bed,Yellow,Glass,Bed,3,17,30102,929,10,9651,27927.9,2021-03-15,2021,3,15
Kabir Kari,"Lampur Border, Delhi - 110093",Mandir,Green,Metal,Mandir,6,19,17673,647,10,3576,16488.0,2022-10-01,2022,10,1
Anika Devan,"Saket, Delhi - 110088",Mattress,Black,Glass,Mattress,5,25,30251,877,5,9772,29571.6,2022-04-08,2022,4,8
Ekaraj Saini,"Alipur, Delhi - 110058",Mattress,White,Plastic,Mattress,2,5,14102,787,15,2308,12655.65,2023-03-03,2023,3,3
Chanchal Baral,"Holambi, Delhi - 110082",Bed - Single Bed,Grey,Metal,Bed,5,10,45384,4292,10,1271,44708.4,2020-11-27,2020,11,27
Vaishnavi Wagle,"Holambi, Delhi - 110090",Dressing Table,Grey,Plastic,Dressing Table,1,2,47754,2930,20,1460,40547.2,2024-05-13,2024,5,13
Faris Brar,"Saket, Delhi - 110085",Mattress,Red,Iron,Mattress,5,17,9556,4398,10,7587,12558.6,2020-06-06,2020,6,6
Chanakya Das,"Singhu Border, Delhi - 110047",Mandir,White,Wood,Mandir,3,5,39281,1821,20,2478,32881.6,2024-06-04,2024,6,4
Upadhriti Rout,"Pranshant Vihar, Delhi - 110042",Sofa,Yellow,Glass,Sofa,8,10,14143,2231,10,2321,14736.6,2022-02-20,2022,2,20
Siddharth Goyal,"Shalimar Bagh, Delhi - 110091",Bed - Double Bed,Yellow,Wood,Bed,7,17,6963,2742,20,4883,7764.0,2021-03-15,2021,3,15
Krish Chhabra,"Shalimar Bagh, Delhi - 110058",Bed - Single Bed,Yellow,Iron,Bed,3,13,31606,778,15,4237,27526.4,2020-02-21,2020,2,21
Baghyawati Saxena,"Pranshant Vihar, Delhi - 110010",Cooler,Green,Metal,Cooler,5,13,33723,1559,20,3063,28225.6,2023-11-14,2023,11,14
Eiravati Om,"Narela, Delhi - 110098",Sofa,Red,Metal,Sofa,9,25,31249,3553,20,8745,27841.6,2022-11-08,2022,11,8
Laban Khanna,"Saket, Delhi - 110048",Mattress,White,Plastic,Mattress,8,14,9432,4517,15,2155,11856.65,2023-11-19,2023,11,19
Rajeshri Kota,"Lampur Border, Delhi - 110040",Chair,Black,Metal,Chair,10,14,11186,1955,20,7318,10512.8,2023-06-24,2023,6,24
Tamanna Nagarajan,"Karol Bagh, Delhi - 110086",Dressing Table,Green,Plastic,Dressing Table,9,13,35293,2749,5,7715,36139.9,2023-11-30,2023,11,30
Vidhi Bose,"Lampur Border, Delhi - 110043",Dressing Table,Grey,Iron,Dressing Table,7,22,5999,2831,15,4440,7505.5,2023-06-25,2023,6,25
Anika Uppal,"Pitampura, Delhi - 110080",Cupboard,Brown,Wood,Cupboard,5,18,7812,1751,10,1191,8606.7,2022-12-08,2022,12,8
Varenya Patla,"Holambi, Delhi - 110090",Mattress,Brown,Glass,Mattress,5,18,17368,1978,5,3741,18378.7,2021-01-06,2021,1,6
Om Mann,"Lajpat Nagar, Delhi - 110091",Dressing Table,Brown,Glass,Dressing Table,3,16,34812,2213,5,5291,35173.75,2023-09-01,2023,9,1
Zilmil Chand,"Dwarka, Delhi - 110033",Cooler,Blue,Board,Cooler,2,20,33751,4113,10,8315,34077.6,2023-12-16,2023,12,16
Prisha Issac,"Karol Bagh, Delhi - 110002",Chair,Red,Iron,Chair,8,25,22954,3713,5,7901,25333.65,2022-07-05,2022,7,5
Sachi Nori,"Dwarka, Delhi - 110026",Mattress,Black,Board,Mattress,3,7,41973,1346,10,6675,38987.1,2024-05-24,2024,5,24
Fariq Saran,"Vasant Kunj, Delhi - 110049",Sofa,Brown,Glass,Sofa,7,16,25896,719,10,4238,23953.5,2020-06-10,2020,6,10
Isaac Garde,"Lajpat Nagar, Delhi - 110080",Cooler,Red,Board,Cooler,7,12,49123,3323,5,2733,49823.7,2020-05-13,2020,5,13
Balvan Dayal,"Lampur Border, Delhi - 110055",Mandir,Yellow,Board,Mandir,9,10,45344,3033,10,2497,43539.3,2023-05-09,2023,5,9
Falan Iyer,"Alipur, Delhi - 110065",Mandir,Red,Glass,Mandir,7,24,21265,2365,20,9483,18904.0,2023-11-29,2023,11,29
Ojas Sarkar,"Rohini, Delhi - 110025",Mattress,Brown,Plastic,Mattress,2,21,15904,3529,5,8109,18461.35,2023-09-15,2023,9,15
Januja Chakraborty,"Pranshant Vihar, Delhi - 110020",Dressing Table,Brown,Board,Dressing Table,5,9,12521,4118,5,4305,15807.05,2022-11-10,2022,11,10
Zashil Sha,"Lajpat Nagar, Delhi - 110051",Mandir,Blue,Wood,Mandir,10,12,49642,507,10,8327,45134.1,2023-11-03,2023,11,3
Yashoda Rastogi,"Alipur, Delhi - 110052",Cooler,Brown,Metal,Cooler,7,27,42370,2565,5,8853,42688.25,2023-11-30,2023,11,30
Wahab Jayaraman,"Rohini, Delhi - 110077",Cooler,Green,Wood,Cooler,4,22,36662,2316,15,9087,33131.3,2021-05-31,2021,5,31
Urvashi Thaker,"Vasant Kunj, Delhi - 110047",Chair,Yellow,Board,Chair,9,24,40232,3074,20,2288,34644.8,2021-12-13,2021,12,13
Xavier Garde,"Rohini, Delhi - 110097",Mandir,Brown,Board,Mandir,9,21,30318,2460,10,6143,29500.2,2020-11-21,2020,11,21
Jason Gola,"Alipur, Delhi - 110058",Dressing Table,Brown,Metal,Dressing Table,4,7,42334,2509,15,6063,38116.55,2023-01-17,2023,1,17
Warda Vala,"Lampur Border, Delhi - 110096",Sofa,Green,Iron,Sofa,1,14,46321,3367,10,6813,44719.2,2021-07-19,2021,7,19
Eiravati Sule,"Shalimar Bagh, Delhi - 110001",Bed - Double Bed,Black,Iron,Bed,7,8,42286,2960,15,5388,38459.1,2022-09-13,2022,9,13
Yadavi Oommen,"Vasant Kunj, Delhi - 110021",Chair,Blue,Board,Chair,8,15,14224,4332,20,6648,14844.8,2024-05-02,2024,5,2
Lakshmi Loke,"Rohini, Delhi - 110009",Mattress,Green,Metal,Mattress,5,19,8495,4161,10,7891,11390.4,2022-12-11,2022,12,11
Rajeshri Sama,"Lajpat Nagar, Delhi - 110028",Cupboard,Grey,Metal,Cupboard,7,19,28179,2806,10,7827,27886.5,2023-05-12,2023,5,12
Chandani Setty,"Rohini, Delhi - 110088",Cupboard,Red,Plastic,Cupboard,9,13,28622,2109,20,3020,24584.8,2022-03-03,2022,3,3
Neha Mandal,"Karol Bagh, Delhi - 110080",Dressing Table,Grey,Board,Dressing Table,4,12,32423,4551,15,2630,31427.9,2022-02-14,2022,2,14
Libni Sharma,"Holambi, Delhi - 110035",Dressing Table,White,Glass,Dressing Table,6,9,24906,4883,15,5939,25320.65,2021-09-17,2021,9,17
Odika Basu,"Lampur Border, Delhi - 110046",Dressing Table,Green,Glass,Dressing Table,7,25,39379,4280,10,1981,39293.1,2023-05-04,2023,5,4
Ishwar Gill,"Shalimar Bagh, Delhi - 110069",Sofa,White,Wood,Sofa,2,10,34816,3590,20,4916,30724.8,2022-01-03,2022,1,3
Hamsini Vig,"Singhu Border, Delhi - 110043",Mandir,Brown,Plastic,Mandir,9,10,39421,2914,10,2189,38101.5,2024-06-19,2024,6,19
Vamakshi Keer,"Dwarka, Delhi - 110074",Cooler,Blue,Wood,Cooler,8,15,37809,2612,20,6796,32336.8,2023-03-30,2023,3,30
Laban Konda,"Pranshant Vihar, Delhi - 110068",Mattress,Grey,Iron,Mattress,8,26,41250,4656,5,9361,43610.7,2020-04-26,2020,4,26
Zashil Prakash,"Rohini, Delhi - 110002",Mattress,Red,Wood,Mattress,7,14,27800,4414,20,3984,25771.2,2020-03-28,2020,3,28
Vrishti Dutta,"Lampur Border, Delhi - 110077",Dressing Table,White,Wood,Dressing Table,2,21,16272,2990,5,7404,18298.9,2023-09-05,2023,9,5
Ethan Kara,"Pranshant Vihar, Delhi - 110089",Sofa,Blue,Glass,Sofa,8,17,21967,4716,20,7684,21346.4,2022-06-08,2022,6,8
Zayan Dara,"Shalimar Bagh, Delhi - 110023",Dressing Table,White,Iron,Dressing Table,8,9,31777,2841,15,1667,29425.3,2023-12-23,2023,12,23
Kashish Morar,"Saket, Delhi - 110084",Sofa,Blue,Iron,Sofa,7,14,33737,660,5,8119,32677.15,2022-11-22,2022,11,22
Frederick Krishna,"Alipur, Delhi - 110033",Sofa,White,Iron,Sofa,6,9,18064,547,10,7414,16749.9,2024-02-08,2024,2,8
Leena Sinha,"Saket, Delhi - 110058",Cooler,Blue,Board,Cooler,5,21,43134,4566,10,5775,42930.0,2023-10-14,2023,10,14
Saanvi Choudhary,"Alipur, Delhi - 110099",Mandir,Brown,Board,Mandir,5,17,12763,3887,20,922,13320.0,2024-07-05,2024,7,5
Balvan Acharya,"Singhu Border, Delhi - 110012",Mandir,Black,Glass,Mandir,9,28,49203,4511,10,4847,48342.6,2022-02-26,2022,2,26
Turvi Choudhury,"Janakpuri, Delhi - 110073",Sofa,Yellow,Glass,Sofa,8,28,44672,2494,10,8314,42449.4,2024-08-30,2024,8,30
Bhavika Lala,"Holambi, Delhi - 110061",Bed - Double Bed,Black,Board,Bed,1,21,44642,4438,10,9826,44172.0,2020-06-30,2020,6,30
Bhanumati Arora,"Karol Bagh, Delhi - 110080",Bed - Double Bed,Grey,Plastic,Bed,9,18,15240,1861,20,4965,13680.8,2023-08-30,2023,8,30
Faris Vohra,"Shalimar Bagh, Delhi - 110075",Chair,White,Metal,Chair,1,8,29178,4844,20,4990,27217.6,2024-06-01,2024,6,1
Onkar Dalal,"Singhu Border, Delhi - 110048",Mattress,Brown,Plastic,Mattress,6,23,47243,3595,10,8948,45754.2,2020-07-03,2020,7,3
Rishi Solanki,"Lampur Border, Delhi - 110081",Mandir,Yellow,Iron,Mandir,6,23,18309,718,15,1719,16172.95,2022-01-05,2022,1,5
Harsh Ahuja,"Karol Bagh, Delhi - 110060",Bed - Single Bed,Green,Metal,Bed,4,14,17230,4575,10,5186,19624.5,2020-02-01,2020,2,1
Samar Dugar,"Lampur Border, Delhi - 110021",Chair,Black,Plastic,Chair,8,21,27924,1105,20,5403,23223.2,2022-03-11,2022,3,11
Azad Gade,"Lajpat Nagar, Delhi - 110068",Cooler,Yellow,Glass,Cooler,6,15,19753,3175,15,7091,19488.8,2022-11-29,2022,11,29
Banjeet Uppal,"Shalimar Bagh, Delhi - 110046",Mattress,Green,Glass,Mattress,5,18,39632,3363,10,5426,38695.5,2022-05-26,2022,5,26
Jackson Dugar,"Shalimar Bagh, Delhi - 110057",Mandir,Blue,Board,Mandir,9,14,5222,3113,10,9657,7501.5,2023-06-26,2023,6,26
Jagvi Radhakrishnan,"Janakpuri, Delhi - 110081",Sofa,Grey,Wood,Sofa,8,24,19969,4417,5,8545,23166.7,2024-11-25,2024,11,25
Pavani Pant,"Rohini, Delhi - 110093",Cupboard,White,Plastic,Cupboard,4,14,34546,1125,20,6345,28536.8,2022-02-25,2022,2,25
Zinal Sanghvi,"Pitampura, Delhi - 110015",Mattress,Yellow,Glass,Mattress,8,10,38736,4469,15,5061,36724.25,2022-08-11,2022,8,11
Tanay Savant,"Shalimar Bagh, Delhi - 110002",Mandir,Black,Wood,Mandir,9,28,48790,4561,5,2466,50683.45,2021-08-19,2021,8,19
Gaurang Aggarwal,"Saket, Delhi - 110006",Cooler,Black,Iron,Cooler,9,10,14859,1747,20,4748,13284.8,2024-04-03,2024,4,3
Manan Shukla,"Alipur, Delhi - 110066",Cupboard,Yellow,Iron,Cupboard,4,14,6533,4945,10,8757,10330.2,2021-09-17,2021,9,17
Vivaan Trivedi,"Holambi, Delhi - 110028",Mattress,Black,Board,Mattress,10,16,30399,2605,15,3536,28053.4,2021-08-14,2021,8,14
Karan Morar,"Saket, Delhi - 110085",Sofa,Brown,Plastic,Sofa,7,12,14868,2143,15,8728,14459.35,2021-04-08,2021,4,8
Vansha Parsa,"Rohini, Delhi - 110022",Cupboard,White,Wood,Cupboard,6,9,13651,2849,20,4015,13200.0,2020-12-02,2020,12,2
Pranit Ahuja,"Karol Bagh, Delhi - 110099",Cupboard,Black,Glass,Cupboard,8,12,9152,1583,5,1280,10198.25,2020-04-13,2020,4,13
Dhruv Deshmukh,"Janakpuri, Delhi - 110086",Mandir,Yellow,Glass,Mandir,8,22,26385,4345,5,2989,29193.5,2023-03-31,2023,3,31
Vedika Seth,"Vasant Kunj, Delhi - 110063",Cooler,Blue,Board,Cooler,4,23,5798,4368,20,3761,8132.8,2022-04-15,2022,4,15
Warjas Natarajan,"Pranshant Vihar, Delhi - 110052",Cooler,Black,Board,Cooler,2,21,46146,4226,5,6419,47853.4,2022-12-17,2022,12,17
Fitan Wagle,"Vasant Kunj, Delhi - 110082",Sofa,Black,Board,Sofa,4,11,44338,2074,5,8240,44091.4,2023-02-23,2023,2,23
Priya Kumer,"Karol Bagh, Delhi - 110059",Bed - Single Bed,Brown,Metal,Bed,4,17,8380,2738,20,3190,8894.4,2021-08-10,2021,8,10
Kritika Ramesh,"Saket, Delhi - 110097",Chair,Red,Glass,Chair,9,14,39686,3134,20,7837,34256.0,2020-02-07,2020,2,7
Jonathan Devi,"Dwarka, Delhi - 110059",Mattress,Brown,Wood,Mattress,2,3,8244,1078,10,9261,8389.8,2021-02-10,2021,2,10
Onkar Sankaran,"Janakpuri, Delhi - 110014",Bed - Double Bed,Green,Plastic,Bed,8,21,11624,2268,15,5870,11808.2,2022-08-11,2022,8,11
